Land Area,Trade flow,Commodity,Y2000,S_2000,Y2001,S_2001,Y2002,S_2002,Y2003,S_2003,Y2004,S_2004,Y2005,S_2005,Y2006,S_2006,Y2007,S_2007,Y2008,S_2008,Y2009,S_2009,Y2010,S_2010,Y2011,S_2011,Y2012,S_2012,Y2013,S_2013,Y2014,S_2014,Y2015,S_2015
Honduras,Export,Fish,1657,,2348,,4192,,3432,,5048,,8346,,8925,,9134,,9269,,6176,,3566,,5350,,8604,,12449,,12697,,12252,
Jamaica,Export,Fish,503,,433,,359,,279,,224,,458,,667,,564,,515,,179,,251,,327,,212,,154,,120,,28,
Mexico,Export,Fish,85860,,100328,,84029,,103368,,44141,,57328,,59050,,73163,,78879,,85988,,89038,,182106,,121025,,72711,,90922,,63089,
Netherlands Antilles,Export,Fish,7201,F,7793,F,6588,F,8155,F,8845,F,2157,F,3110,F,1990,F,10200,F,15519,F,12800,F,0,-,0,-,0,-,0,-,0,-
Nicaragua,Export,Fish,2617,,2664,,3361,,3619,,4082,,5023,,4738,,5301,,4720,,5220,,5775,,5583,,5154,,5446,,6339,,5338,
Panama,Export,Fish,52553,,65687,,66894,,82863,,84250,,84665,,83949,,77816,,94231,,91265,,50274,,27142,,21862,,23915,,30290,,31399,
Paraguay,Export,Fish,26,,29,,44,,117,,271,,320,,260,,143,,89,,33,,8,,5,,6,,5,,6,,6,
Peru,Export,Fish,77333,,93034,,46190,,46822,,48846,,41237,,97787,,107196,,106049,,89301,,56720,,139327,,132256,,92359,,85515,,67502,
Saint Kitts and Nevis,Export,Fish,2,,0,-,0,0,0,0,0,0,0,-,0,0,6,,6,,7,,5,,4,,4,F,9,F,6,F,1,F
Saint Lucia,Export,Fish,0,-,0,0,13,,0,0,0,-,0,-,0,-,0,-,25,,0,-,0,-,0,-,14,F,0,-,0,-,1,
Saint Vincent/Grenadines,Export,Fish,199,,74,,29,,53,,18,,11,,29,,33,,30,,18,,21,,17,,31,,28,F,23,F,33,F
St. Pierre and Miquelon,Export,Fish,1754,F,1087,F,1025,F,894,F,1036,F,1255,F,1328,F,1656,F,1637,F,936,F,807,F,475,F,403,F,485,F,398,F,219,F
Suriname,Export,Fish,8595,,8484,,4511,F,4623,F,4797,F,4531,F,5388,F,5756,F,10554,F,12154,F,12002,F,12599,F,13715,F,14543,F,14194,F,15409,F
Trinidad and Tobago,Export,Fish,4204,,4856,,4892,,3810,,2948,,2910,,6357,,3844,,3763,,4250,,3439,,3788,F,3562,F,4008,F,3773,F,5423,F
Turks and Caicos Is.,Export,Fish,0,-,1,F,0,-,8,F,0,-,13,,18,,4,,6,,0,0,0,0,0,-,0,-,28,F,41,F,0,-
United States of America,Export,Fish,783804,,970365,,922380,,962389,,1132819,,1171988,,1153878,,1153546,,1046338,,963093,,1022960,,1245714,,1173520,,1230275,,1235369,,1175860,
Uruguay,Export,Fish,64391,,62620,,63375,,76940,,86722,,77859,,69592,,67076,,98267,,84998,,77347,,91337,,76580,,54511,,61854,,51685,
"Venezuela, Boliv Rep of",Export,Fish,23958,,48715,,36089,,46066,,59336,,43894,,1708,,1886,,470,,143,,205,,173,,38,,14,,99,,9,
Armenia,Export,Fish,11,,97,,53,,28,,68,,131,,80,,70,,81,,23,,432,,1313,,1844,,2269,,1733,F,1649,
Azerbaijan,Export,Fish,1738,,364,,59,,336,,2300,,3055,,538,,856,,517,,493,,246,,270,,0,-,32,,0,-,0,-
Bahrain,Export,Fish,1342,,1687,,2365,,2701,,2357,,1271,,2907,,2200,,2434,,3030,,1761,,1547,,2598,,1782,,1430,,3087,
Bangladesh,Export,Fish,9728,F,7196,,7678,,6644,,8161,,15797,,14170,,19682,,26149,,20347,,26313,,32621,F,18303,,19453,,16724,,15127,
Bhutan,Export,Fish,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,0,0,-,1,,0,-,0,-,1,F,0,-,0,-
Brunei Darussalam,Export,Fish,268,F,105,,8,F,28,,6,F,15,F,79,,35,F,83,F,183,F,335,F,563,F,1167,,966,,1168,,1090,
Cambodia,Export,Fish,42685,,37184,,51980,,55904,,40335,,48383,,29092,,23768,,24767,,29829,,34440,F,29616,F,30689,F,31772,F,31492,F,32287,F
China,Export,Fish,1028335,,1366368,,1348747,,1346943,,1550707,,1699608,,2001687,,2068960,,2038431,,2041639,,2302025,,2755111,,2678625,,2760685,,2881463,,2780461,
"China, Hong Kong SAR",Export,Fish,47870,,43603,,44178,,39378,,39554,,38237,,37350,,33878,,34196,,35149,,35338,,37017,,33935,,37153,,35496,,32120,
"China, Macao SAR",Export,Fish,11,,0,-,0,-,0,-,75,,71,,130,,77,,105,,473,,0,-,0,-,0,-,0,-,0,-,0,-
Cyprus,Export,Fish,687,,666,,657,,574,,2490,,2988,,2700,,2562,,2646,,2166,,2686,,3303,,3107,,4339,,3541,,4549,
Georgia,Export,Fish,831,,2971,,342,,7781,,3263,,16303,,6235,,7035,,14054,,20533,,21830,,8245,,1293,,1666,,4314,,12232,
India,Export,Fish,307428,,246443,,261302,,142982,,185636,,238141,,311644,,235070,,195742,,363979,,399212,,481879,,482228,,444938,,449256,,366673,
Indonesia,Export,Fish,312271,,257179,,334326,,591161,,624533,,539955,,551742,,474816,,507629,,511978,,687238,,653585,,743574,,731585,,714987,,494232,
Iran (Islamic Rep. of),Export,Fish,4987,,4284,,9109,,9794,,11045,,18854,,26543,,12491,,15355,,26756,,37164,,48921,,49197,,60030,,54638,,58120,
Iraq,Export,Fish,104,,155,,111,,110,F,90,F,10,,104,,100,,100,,100,,150,F,203,F,230,,235,F,265,F,120,F
Israel,Export,Fish,291,F,395,F,319,F,333,F,450,,532,,664,,782,F,1281,F,1093,,711,F,223,F,648,,908,F,686,F,373,F
Japan,Export,Fish,171505,,219415,,231336,,289749,,347964,,400915,,532569,,540387,,437580,,419721,,479942,,341388,,343994,,444741,,365530,,417559,
Jordan,Export,Fish,1158,,100,,115,,128,,34,,16,,2,,0,-,43,,0,-,0,-,0,-,2,,0,-,0,-,0,-
Kazakhstan,Export,Fish,17706,,21494,,25680,,30553,,30340,,32942,,32313,,34564,,35231,,37185,,24178,,20980,,22402,,19835,,21728,,23487,
"Korea, Dem. People's Rep",Export,Fish,8226,F,4350,F,6361,F,9438,F,21842,F,19834,F,18310,F,11326,F,10811,F,9818,F,12901,F,10841,F,9176,F,9753,F,12018,F,13630,F
"Korea, Republic of",Export,Fish,288219,,234701,,245086,,237230,,217045,,226507,,220146,,272794,,323926,,409920,,561274,,428508,,476229,,429935,,441764,,400625,
Kuwait,Export,Fish,0,-,48,,27,,138,,26,,41,F,681,,209,,300,,568,,427,,245,,188,F,213,,6,,172,
Kyrgyzstan,Export,Fish,52,,0,0,0,0,0,-,34,,0,-,11,,235,,346,,156,,71,,1,,0,-,0,-,0,-,29,
Lao People's Dem. Rep.,Export,Fish,3,F,27,F,1,F,19,F,10,F,0,0,1,F,0,-,1,F,2,F,6,F,5,F,0,-,0,-,0,-,2,
Lebanon,Export,Fish,36,,35,,76,,182,,128,,164,,222,,424,,709,,1127,,369,,442,,430,,516,,656,,663,F
